Device Name,Date,Time,Hum
res,2026-07-09,17:13:21,42.50
res,2026-07-09,17:13:36,64.60
res,2026-07-09,17:13:51,58.00
res,2026-07-09,17:14:06,58.70
res,2026-07-09,17:14:51,65.00
res,2026-07-09,17:15:06,67.70
res,2026-07-09,17:15:21,64.70
res,2026-07-09,17:15:36,38.70
res,2026-07-09,17:16:07,47.20
res,2026-07-09,17:16:22,39.60
res,2026-07-09,17:16:37,72.30
res,2026-07-09,17:16:52,76.10
res,2026-07-09,17:17:07,75.80
res,2026-07-09,17:17:22,43.30
res,2026-07-09,17:17:37,58.50
res,2026-07-09,17:17:52,65.00
res,2026-07-09,17:18:07,49.70
res,2026-07-09,17:18:22,47.20
res,2026-07-09,17:18:37,69.30
res,2026-07-09,17:18:52,75.70
res,2026-07-09,17:19:07,63.10
res,2026-07-09,17:19:22,62.00
res,2026-07-09,17:19:37,31.90
res,2026-07-09,17:19:52,41.60
res,2026-07-09,17:20:07,31.80
res,2026-07-09,17:20:22,42.20
res,2026-07-09,17:20:37,38.40
res,2026-07-09,17:20:52,51.40
res,2026-07-09,17:21:07,65.50
res,2026-07-09,17:21:22,43.30
res,2026-07-09,17:21:37,74.30
res,2026-07-09,17:21:52,42.80
res,2026-07-09,17:22:07,48.60
res,2026-07-09,17:22:22,33.70
res,2026-07-09,17:22:37,61.30
res,2026-07-09,17:22:52,69.80
res,2026-07-09,17:23:22,36.90
res,2026-07-09,17:23:37,57.30
res,2026-07-09,17:24:37,43.80
res,2026-07-09,17:25:07,30.20
res,2026-07-09,17:25:37,78.70
res,2026-07-09,17:25:52,50.70
res,2026-07-09,17:26:08,38.00
res,2026-07-09,17:26:23,35.30
res,2026-07-09,17:27:08,40.40
res,2026-07-09,17:27:23,66.00
res,2026-07-09,17:27:38,30.80
res,2026-07-09,17:27:53,45.70
res,2026-07-09,17:28:08,49.30
res,2026-07-09,17:28:23,57.40
res,2026-07-09,17:28:38,42.20
res,2026-07-09,17:29:08,69.60
res,2026-07-09,17:29:23,53.10
res,2026-07-09,17:29:38,55.80
res,2026-07-09,17:29:53,30.40
res,2026-07-09,17:30:08,54.70
res,2026-07-09,17:30:23,41.60
res,2026-07-09,17:30:38,72.30
res,2026-07-09,17:30:53,32.60
res,2026-07-09,17:31:08,70.40
res,2026-07-09,17:31:23,53.20
res,2026-07-09,17:31:38,36.00
res,2026-07-09,17:31:53,57.10
res,2026-07-09,17:32:08,70.30
res,2026-07-09,17:32:38,48.10
res,2026-07-09,17:32:53,43.20
res,2026-07-09,17:33:08,62.50
res,2026-07-09,17:33:23,50.80
res,2026-07-09,17:33:38,74.90
res,2026-07-09,17:33:53,55.30
res,2026-07-09,17:34:08,55.70
res,2026-07-09,17:34:23,47.60
res,2026-07-09,17:34:38,31.40
res,2026-07-09,17:34:53,56.00
res,2026-07-09,17:35:08,36.80
res,2026-07-09,17:35:23,75.60
res,2026-07-09,17:35:38,31.00
res,2026-07-09,17:35:54,70.90
res,2026-07-09,17:36:09,79.90
res,2026-07-09,17:36:24,49.00
res,2026-07-09,17:36:39,48.30
res,2026-07-09,17:37:09,63.10
res,2026-07-09,17:37:39,67.50
res,2026-07-09,17:37:54,46.70
res,2026-07-09,17:38:09,43.20
res,2026-07-09,17:38:39,37.80
res,2026-07-09,17:38:54,74.40
res,2026-07-09,17:39:09,47.80
res,2026-07-09,17:39:24,40.30
res,2026-07-09,17:39:39,41.80
res,2026-07-09,17:39:54,54.90
res,2026-07-09,17:40:09,61.90
res,2026-07-09,17:40:24,55.90
res,2026-07-09,17:40:39,42.20
res,2026-07-09,17:40:54,64.50
res,2026-07-09,17:41:09,74.20
res,2026-07-09,17:41:24,79.70
res,2026-07-09,17:41:39,65.00
res,2026-07-09,17:41:54,47.40
res,2026-07-09,17:42:24,61.20
res,2026-07-09,17:42:39,31.30
res,2026-07-09,17:42:54,63.00
res,2026-07-09,17:43:09,43.40
